"parcode","trial","fix_item","fix_time","fix_num","rev_fix_num"
124,10,2,3250.11839845683,1,3
124,10,1,1666.82159880293,2,2
124,10,2,1366.67600170767,3,1
124,11,1,966.945202395436,1,2
124,11,2,2850.01260963327,2,1
124,13,1,483.613726304611,1,4
124,13,2,1216.65195544483,2,3
124,13,1,433.32077258674,3,2
124,13,2,883.208898871089,4,1
124,14,1,600.23181172437,1,5
124,14,2,833.216156737763,2,4
124,14,1,1083.47421405779,3,3
124,14,2,483.185585748288,4,2
124,14,1,933.473627563217,5,1
124,15,1,550.106375332689,1,9
124,15,2,833.323924991419,2,8
124,15,1,616.682233187021,3,7
124,15,2,583.317326934775,4,6
124,15,1,683.355229106382,5,5
124,15,2,516.661192727042,6,4
124,15,1,600.016641765251,7,3
124,15,2,983.481032060809,8,2
124,15,1,733.337341036531,9,1
124,16,2,1466.91074589035,1,2
124,16,1,1533.34877766611,2,1
124,17,2,983.439977484522,1,5
124,17,1,833.30706327979,2,4
124,17,2,866.825191100361,3,3
124,17,1,466.532823862508,4,2
124,17,2,1300.15476107656,5,1
124,18,2,1333.5566897731,1,2
124,18,1,1366.71998874226,2,1
124,19,1,450.104395917151,1,3
124,19,2,633.47282113682,2,2
124,19,1,1133.32473143237,3,1
124,20,2,1850.27103351604,1,7
124,20,1,516.508704298758,2,6
124,20,2,2550.16392504331,3,5
124,20,1,716.652688570321,4,4
124,20,2,1083.35324969084,5,3
124,20,1,400.018181302585,6,2
124,20,2,766.809649008792,7,1
124,21,2,550.249333231477,1,4
124,21,1,766.671822930221,2,3
124,21,2,549.860781000461,3,2
124,21,1,1450.16781057348,4,1
124,22,2,3266.95553935133,1,6
124,22,1,683.351196959848,2,5
124,22,2,1033.28169744054,3,4
124,22,1,549.873977113748,4,3
124,22,2,1466.81360783987,5,2
124,22,1,3200.09559849859,6,1
124,23,1,516.919250047067,1,4
124,23,2,799.976246998995,2,3
124,23,1,1316.69169040106,3,2
124,23,2,2483.35713522101,4,1
124,24,1,1150.25717759272,1,4
124,24,2,849.857555280323,2,3
124,24,1,1400.00865078764,3,2
124,24,2,2216.70583957166,4,1
124,26,2,3700.1326209429,1,7
124,26,1,1066.81338789349,2,6
124,26,2,499.839447293198,3,5
124,26,1,1066.82145218656,4,4
124,26,2,733.195849374169,5,3
124,26,1,1150.00461864111,6,2
124,26,2,1116.8130946462,7,1
124,27,2,1533.60023694404,1,3
124,27,1,1150.00131960551,2,2
124,27,2,1299.8585816531,3,1
124,28,1,2083.58418167336,1,4
124,28,2,933.359994378407,2,3
124,28,1,1333.33308895817,3,2
124,28,2,1033.19225710584,4,1
124,29,1,866.977679514093,1,8
124,29,2,1666.62219088175,2,7
124,29,1,699.857335348497,3,6
124,29,2,616.638246152434,4,5
124,29,1,666.856421885313,5,4
124,29,2,1149.84773151809,6,3
124,29,1,1450.14325113152,7,2
124,29,2,1566.52857178415,8,1
124,30,2,1266.93097992393,1,4
124,30,1,883.316667139297,2,3
124,30,2,899.869358472642,3,2
124,30,1,1016.82504446944,4,1
124,31,2,1283.61269993184,1,3
124,31,1,866.646310445503,2,2
124,31,2,1399.87522341835,3,1
124,32,2,4916.95979144424,1,3
124,32,1,1299.85748196486,2,2
124,32,2,1633.33939378208,3,1
124,33,2,2083.65785997012,1,2
124,33,1,2216.64389115176,2,1
124,34,1,583.590779730002,1,3
124,34,2,866.662072468898,2,2
124,34,1,2250.02272664278,3,1
124,35,1,983.567173345364,1,4
124,35,2,1649.87925556488,2,3
124,35,1,450.117592030438,3,2
124,35,2,800.026098979288,4,1
124,36,1,2550.27242642245,1,3
124,36,2,766.667424220941,2,2
124,36,1,699.861000932287,3,1
124,37,1,733.593199023744,1,2
124,37,2,2900.01304948237,2,1
124,38,1,1233.59869739215,1,5
124,38,2,916.521020670189,2,4
124,38,1,683.328470331617,3,3
124,38,2,1150.17616811383,4,2
124,38,1,1466.50716474687,5,1
124,39,2,2466.93090662302,1,3
124,39,1,1083.20332717267,2,2
124,39,2,833.333822083659,3,1
124,40,1,1666.93633169052,1,3
124,40,2,1166.65371492854,2,2
124,40,1,3383.35442266543,3,1
124,41,1,1800.09391233034,1,3
124,41,2,1416.66214578436,2,2
124,41,1,733.493861596799,3,1
124,42,1,650.243614902138,1,8
124,42,2,999.866939193453,2,7
124,42,1,883.458158801659,3,6
124,42,2,716.546019975794,4,5
124,42,1,666.672409410239,5,4
124,42,2,483.463803800987,6,3
124,42,1,533.202520746272,7,2
124,42,2,3250.17228259821,8,1
124,43,1,566.919323362526,1,6
124,43,2,900.016715066158,2,5
124,43,1,699.844505797955,3,4
124,43,2,400.127782369964,4,3
124,43,1,1233.35896800563,5,2
124,43,2,2916.65481460223,6,1
124,44,2,966.931639733957,1,3
124,44,1,1083.34848441882,2,2
124,44,2,1866.66500494175,3,1
124,45,2,1500.09273935575,1,3
124,45,1,1516.85070357053,2,2
124,45,2,516.511636771611,3,1
124,46,1,766.778858072939,1,2
124,46,2,2016.68428591802,2,1
124,47,1,783.609400910791,1,2
124,47,2,2283.31395459827,2,1
124,48,2,916.91543784691,1,2
124,48,1,1600.0041787629,2,1
124,49,1,1150.26084317651,1,4
124,49,2,916.687804885441,2,3
124,49,1,966.523293347564,3,2
124,49,2,2650.01414915605,4,1
124,50,2,2016.78032430937,1,4
124,50,1,1200.15204855008,2,3
124,50,2,549.988343438599,3,2
124,50,1,1899.87888900214,4,1
124,51,2,1800.11077404197,1,5
124,51,1,966.680180456024,2,4
124,51,2,1216.69007754826,3,3
124,51,1,466.77072046441,4,2
124,51,2,783.200687961653,5,1
124,52,1,766.77079377987,1,4
124,52,2,1133.49188218126,2,3
124,52,1,483.347238128772,3,2
124,52,2,1550.05432400503,4,1
124,53,1,1700.10916117462,1,7
124,53,2,650.01304949692,2,6
124,53,1,733.460871313582,3,5
124,53,2,1250.02822502574,4,4
124,53,1,1999.85557586479,5,3
124,53,2,733.468202510267,6,2
124,53,1,700.006891303929,7,1
124,54,1,816.915291215992,1,2
124,54,2,1650.01818131714,2,1
124,55,2,3350.2732328634,1,4
124,55,1,1549.87617647566,2,3
124,55,2,1050.14633023529,3,2
124,55,1,799.991642459645,4,1
124,56,2,3033.60316941689,1,2
124,56,1,3016.93941077974,2,1
124,57,1,983.595398371108,1,3
124,57,2,1849.85425625928,2,2
124,57,1,783.474140742328,3,1
124,58,1,750.256224535406,1,2
124,58,2,3649.99618778529,2,1
124,59,2,1150.26011005102,1,2
124,59,1,1299.8523501592,2,1
124,60,1,2166.91727063153,1,4
124,60,2,1633.35149020713,2,3
124,60,1,650.002785841934,3,2
124,60,2,733.180453913519,4,1
124,61,2,1366.92342880997,1,2
124,61,1,1083.18683203834,2,1
124,62,2,1400.25021297333,1,3
124,62,1,833.336387979216,2,2
124,62,2,2300.03636261972,3,1
124,63,2,1366.78633587144,1,2
124,63,1,1016.81184835616,2,1
124,64,2,1916.77761176834,1,4
124,64,1,883.335361620993,2,3
124,64,2,516.80158470117,3,2
124,64,1,800.029398014885,4,1
124,65,2,2800.26619492855,1,2
124,65,1,1733.1910841167,2,1
124,66,1,783.59033986635,1,4
124,66,2,1916.68267306522,2,3
124,66,1,449.981598751037,3,2
124,66,2,1250.03958833986,4,1
124,67,1,1083.6003102595,1,7
124,67,2,949.994061738835,2,6
124,67,1,666.659213311505,3,5
124,67,2,1650.00168616825,4,4
124,67,1,783.342179624015,5,3
124,67,2,499.991202581441,6,2
124,67,1,816.690590741928,7,1
124,68,2,1683.45273371961,1,2
124,68,1,1450.16011284315,2,1
124,69,1,766.919250047067,1,3
124,69,2,1733.32817706978,2,2
124,69,1,466.716469774838,3,1
124,70,1,2650.33818707161,1,2
124,70,2,1866.45203431544,2,1
124,71,1,716.915144599625,1,5
124,71,2,2050.00850415672,2,4
124,71,1,983.32267870137,3,3
124,71,2,483.209412050201,4,2
124,71,1,400.13034826552,5,1
124,72,1,800.266561491298,1,2
124,72,2,2183.3167404402,2,1
124,73,1,816.779664499336,1,2
124,73,2,2033.47414074233,2,1
124,74,2,966.773652922711,1,4
124,74,1,1200.00432539382,2,3
124,74,2,416.785309498664,3,2
124,74,1,616.707159191719,4,1
124,75,2,1733.44950799947,1,2
124,75,1,1600.00234597828,2,1
124,76,1,933.61621889926,1,4
124,76,2,1249.95271392982,2,3
124,76,1,866.583995462861,3,2
124,76,2,1149.98482445662,4,1
124,77,1,1083.59297907737,1,7
124,77,2,1150.00168616825,2,6
124,77,1,616.65950655879,3,5
124,77,2,466.656720702304,4,4
124,77,1,399.855795811163,5,3
124,77,2,916.828196859569,6,2
124,77,1,1150.00681800302,7,1
124,78,2,1150.26011006557,1,2
124,78,1,1866.52351326484,2,1
124,79,2,1866.77900468931,1,2
124,79,1,2383.49774712697,2,1
124,80,1,1333.43389260699,1,2
124,80,2,2416.8355280417,2,1
124,81,1,1766.9328127231,1,2
124,81,2,1616.67673480406,2,1
124,82,1,1483.76804751751,1,4
124,82,2,1666.50269273669,2,3
124,82,1,833.191963858553,3,2
124,82,2,1683.34129986761,4,1
124,83,2,1750.26135635562,1,2
124,83,1,1949.96107147017,2,1
124,84,2,2916.94329629536,1,8
124,84,1,799.852350159199,2,7
124,84,2,616.802464443026,3,6
124,84,1,449.992962079705,4,5
124,84,2,366.666104600881,5,4
124,84,1,750.02236009459,6,3
124,84,2,1916.64015225251,7,2
124,84,1,2566.7166163912,8,1
124,85,2,2950.26934733323,1,2
124,85,1,1516.65569434408,2,1
124,86,1,1066.75437194644,1,3
124,86,2,1450.15021575091,2,2
124,86,1,483.341739745811,3,1
124,87,1,866.771306958981,1,2
124,87,2,2283.49283523858,2,1
124,88,1,550.261429671082,1,5
124,88,2,1533.18969119573,2,4
124,88,1,483.449508014019,3,3
124,88,2,1533.37773580279,4,2
124,88,1,683.335068373708,5,1
124,89,2,1266.92914713931,1,2
124,89,1,1349.99024953868,2,1
124,90,2,966.928340712911,1,4
124,90,1,1316.6396390734,2,3
124,90,2,483.216376669588,3,2
124,90,1,416.671309736557,4,1
124,91,1,1083.63549989008,1,3
124,91,2,1633.29284082283,2,2
124,91,1,1416.65554771316,3,1
124,92,1,1550.25593128812,1,4
124,92,2,3149.86532634066,2,3
124,92,1,1700.14288456878,3,2
124,92,2,4183.38675316772,4,1
124,93,2,1716.93420564407,1,2
124,93,1,1333.32612433878,2,1
124,94,1,933.594591944711,1,3
124,94,2,916.518088211888,2,2
124,94,1,600.13540678483,3,1
124,95,2,700.270813569659,1,7
124,95,1,649.853229901055,2,6
124,95,2,366.651808813913,3,5
124,95,1,1200.13665308943,4,4
124,95,2,1549.88717322703,5,3
124,95,1,433.333968700026,6,2
124,95,2,483.341006634873,7,1
124,96,1,666.920569652575,1,3
124,96,2,1133.35772171558,2,2
124,96,1,566.502179557574,3,1
124,97,1,1950.32909640577,1,2
124,97,2,2099.82896372094,2,1
124,98,2,1000.07807700604,1,5
124,98,1,583.367178915069,2,4
124,98,2,400.00865078764,3,3
124,98,1,300.124703266192,4,2
124,98,2,1633.35478924273,5,1
124,99,2,2300.26362901845,1,2
124,99,1,1516.52593255858,2,1
124,100,2,1883.44642891025,1,4
124,100,1,633.527438389137,2,3
124,100,2,783.287928934442,3,2
124,100,1,633.324731417815,4,1
124,1,2,5500.2719865588,1,6
124,1,1,799.867745619849,2,5
124,1,2,1250.14479068341,3,4
124,1,1,733.188151658396,4,3
124,1,2,383.329863238032,5,2
124,1,1,950.161212516832,6,1
124,2,2,933.587993873516,1,2
124,2,1,1450.01642183342,2,1
124,3,1,633.440197401796,1,2
124,3,2,1216.67211617751,2,1
124,4,1,1283.61233338364,1,3
124,4,2,1566.6641985008,2,2
124,4,1,1249.9904694705,3,1
124,5,2,750.254391736235,1,4
124,5,1,916.520654121996,2,3
124,5,2,583.473114384105,3,2
124,5,1,983.356402095524,4,1
124,6,2,1583.6065417534,1,2
124,6,1,1266.48011272482,2,1
124,7,2,1067.24812652101,1,2
124,7,1,1016.19602972642,2,1
124,8,1,1466.7776850838,1,9
124,8,2,733.494594722288,2,8
124,8,1,466.662219085265,3,7
124,8,2,1050.03489639785,4,6
124,8,1,949.850004166365,5,5
124,8,2,733.441443720949,6,4
124,8,1,433.184046196402,7,3
124,8,2,1800.00813759398,8,2
124,8,1,1300.15732700122,9,1
124,9,2,1500.2598901192,1,6
124,9,1,916.676441571326,2,5
124,9,2,550.006671372103,3,4
124,9,1,516.674388825777,4,3
124,9,2,1716.68824476365,5,2
124,9,1,866.653641613084,6,1
124,10,2,1733.59393213468,1,3
124,10,1,1083.35654871189,2,2
124,10,2,949.997727337177,3,1
124,11,1,1283.61123370996,1,4
124,11,2,949.997727337177,2,3
124,11,1,566.646237115492,3,2
124,11,2,399.989223180455,4,1
124,12,2,1333.59297907737,1,2
124,12,1,1783.34511208232,2,1
124,13,1,516.93831110606,1,2
124,13,2,1633.35258988081,2,1
124,14,2,1800.11077404197,1,8
124,14,1,866.827756995917,2,7
124,14,2,666.657380512333,3,6
124,14,1,416.621824319009,4,5
124,14,2,1050.02646554203,5,4
124,14,1,983.218942579697,6,3
124,14,2,833.498406936997,7,2
124,14,1,1233.35860144289,8,1
124,15,2,1083.43902442721,1,4
124,15,1,883.479052630719,2,3
124,15,2,399.994355000672,3,2
124,15,1,450.326530495659,4,1
124,16,1,650.251312647015,1,4
124,16,2,966.652321993024,2,3
124,16,1,666.676075008581,3,2
124,16,2,683.338000846561,4,1
124,17,2,1000.10630201723,1,2
124,17,1,1066.82401811122,2,1
124,18,1,566.774899227312,1,6
124,18,2,533.498333621537,2,5
124,18,1,683.18294652272,3,4
124,18,2,1150.13694633672,4,3
124,18,1,850.010043708608,5,2
124,18,2,666.639052564278,6,1
124,19,1,1483.57560420118,1,6
124,19,2,800.033796709613,2,5
124,19,1,766.635167048662,3,4
124,19,2,1166.66801071551,4,3
124,19,1,566.549099079566,5,2
124,19,2,1416.8172001082,6,1
124,20,2,1150.10762162274,1,3
124,20,1,1000.15432122746,2,2
124,20,2,466.678347656853,3,1
124,21,2,1133.4614578227,1,7
124,21,1,466.785382814123,2,6
124,21,2,566.560828941874,3,5
124,21,1,466.792713996256,4,4
124,21,2,1016.68941773823,5,3
124,21,1,2483.1973156106,6,2
124,21,2,983.337707613828,7,1
124,22,2,1150.25791070366,1,8
124,22,1,1033.31395459827,2,7
124,22,2,1866.93589181232,3,6
124,22,1,466.421390025062,4,5
124,22,2,1800.01693501254,5,4
124,22,1,916.519554433762,6,3
124,22,2,500.131961132865,7,2
124,22,1,949.972068236093,8,1
124,23,1,500.231298545259,1,6
124,23,2,583.222021668917,2,5
124,23,1,666.656647401396,3,4
124,23,2,483.338807272958,4,3
124,23,1,616.653641613084,5,2
124,23,2,500.040688013542,6,1
124,24,1,833.600310259499,1,7
124,24,2,833.329056811635,2,6
124,24,1,1050.01143662957,3,5
124,24,2,649.987023833091,4,4
124,24,1,650.011583245941,5,3
124,24,2,466.66075286339,6,2
124,24,1,449.999560121796,7,1
124,25,1,383.417470773566,1,5
124,25,2,700.158280043979,2,4
124,25,1,483.201347757131,3,3
124,25,2,466.66881715646,4,2
124,25,1,716.803344184882,5,1
124,26,2,1283.61343305733,1,6
124,26,1,816.640372184338,2,5
124,26,2,399.990322854137,3,4
124,26,1,716.559216089081,4,3
124,26,2,950.121257614228,5,2
124,26,1,1116.67966729146,6,1
124,27,2,1116.87577617704,1,10
124,27,1,549.907700522454,2,9
124,27,2,566.831715841545,3,8
124,27,1,516.627102755592,4,7
124,27,2,416.662878895295,5,6
124,27,1,783.351710138959,6,5
124,27,2,916.513689502608,7,4
124,27,1,1616.84278590837,8,3
124,27,2,1199.97683349357,9,2
124,27,1,1233.22370783717,10,1
124,28,2,1200.27814475179,1,6
124,28,1,599.852790022851,2,5
124,28,2,883.45742567617,3,4
124,28,1,450.034016641439,4,3
124,28,2,1083.64173138398,5,2
124,28,1,399.68168042833,6,1
124,29,1,816.914191527758,1,3
124,29,2,1633.33756098291,2,2
124,29,1,433.208605623804,3,1
124,30,1,883.604782269686,1,5
124,30,2,966.507531309617,2,4
124,30,1,766.650929086609,3,3
124,30,2,1366.69359650114,4,2
124,30,1,1566.818886291,5,1
124,31,1,1066.91602434148,1,4
124,31,2,1466.7128041765,2,3
124,31,1,2499.95564640267,3,2
124,31,2,16.655694344081,4,1
124,32,2,1050.25446505169,1,4
124,32,1,899.860194505891,2,3
124,32,2,866.839853435522,3,2
124,32,1,1433.33286902634,4,1
124,33,2,983.606395122479,1,6
124,33,1,1066.50474546768,2,5
124,33,2,500.121697492432,3,4
124,33,1,633.323631744133,4,3
124,33,2,433.234631302184,5,2
124,33,1,1266.80561684771,6,1
124,34,1,733.591732772766,1,3
124,34,2,1916.67900748143,2,2
124,34,1,949.997360774432,3,1
124,35,2,1333.59847746033,1,6
124,35,1,599.989882990485,2,5
124,35,2,766.667790769134,3,4
124,35,1,1133.33792754565,4,3
124,35,2,816.677394614089,5,2
124,35,1,1083.30889607896,6,1
124,36,1,1166.9282673829,1,3
124,36,2,1333.32869026344,2,2
124,36,1,1333.22532070451,3,1
124,37,1,500.254758298979,1,4
124,37,2,933.332869026344,2,3
124,37,1,883.193869973184,3,2
124,37,2,1850.15373471833,4,1
124,38,1,666.750486416277,1,3
124,38,2,966.828270189581,2,2
124,38,1,666.667277590022,3,1
124,39,1,483.417983952677,1,4
124,39,2,833.494008227717,2,3
124,39,1,1066.69425632572,3,2
124,39,2,416.640885363449,4,1
124,40,2,1216.93054006028,1,2
124,40,1,949.991495843278,2,1
124,41,1,1250.2598901192,1,2
124,41,2,1316.49924708472,2,1
124,42,1,700.238922974677,1,4
124,42,2,899.999120258144,2,3
124,42,1,1350.02543916926,3,2
124,42,2,600.006378124817,4,1
124,43,2,1616.91903011524,1,3
124,43,1,1050.00557169842,2,2
124,43,2,466.658920049667,3,1
124,44,1,400.249479862396,1,5
124,44,2,849.860854315921,2,4
124,44,1,599.991715775104,3,3
124,44,2,433.468129180255,4,2
124,44,1,483.623989945045,5,1
124,45,1,650.258643814595,1,2
124,45,2,966.659653175157,2,1
124,46,2,966.771453589899,1,5
124,46,1,1000.00586493115,2,4
124,46,2,583.333822083659,3,3
124,46,1,666.798505611951,4,2
124,46,2,1016.70371353975,5,1
124,47,1,483.604195775115,1,3
124,47,2,1516.70334697701,2,2
124,47,1,899.961364702904,3,1
124,48,1,1216.94740175735,1,3
124,48,2,666.655914290459,2,2
124,48,1,433.197975420626,3,1
124,49,1,750.113999762107,1,5
124,49,2,716.783550014952,2,4
124,49,1,716.66991681559,3,3
124,49,2,1816.69315663748,4,2
124,49,1,333.310728892684,5,1
124,50,1,566.774166116375,1,6
124,50,2,533.314321146463,2,5
124,50,1,733.495694410522,3,4
124,50,2,1633.35075708164,4,3
124,50,1,1066.68106021243,5,2
124,50,2,366.489423307939,6,1
124,51,2,633.585721225245,1,4
124,51,1,983.328910180717,2,3
124,51,2,2183.35816157924,3,2
124,51,1,333.314394476474,4,1
124,52,2,1216.93457219226,1,4
124,52,1,683.323705059593,2,3
124,52,2,2533.17759477068,3,2
124,52,1,1016.8617003219,4,1
124,53,1,1033.43931767449,1,2
124,53,2,1566.66346538987,2,1
124,54,2,1500.2624560293,1,2
124,54,1,1083.17766807158,2,1
124,55,1,633.56629361806,1,5
124,55,2,599.985484266654,2,4
124,55,1,433.321139149484,3,3
124,55,2,649.995454674354,4,2
124,55,1,366.687365021789,5,1
124,56,1,916.83442836802,1,3
124,56,2,1200.15168198734,2,2
124,56,1,366.5227801539,3,1
124,57,2,716.939337464282,1,5
124,57,1,549.853449832881,2,4
124,57,2,433.464463596465,3,3
124,57,1,1133.35258988081,4,2
124,57,2,783.331915983581,5,1
124,58,2,1516.90678705927,1,2
124,58,1,999.876469708397,2,1
124,59,1,1050.26362901845,1,2
124,59,2,1766.51603548089,2,1
124,60,1,583.60580864246,1,4
124,60,2,800.006304809358,2,3
124,60,1,999.978373030899,3,2
124,60,2,783.505298240925,4,1
124,61,2,1316.77709858923,1,2
124,61,1,1083.48227835086,2,1
124,62,2,666.92350213998,1,5
124,62,1,933.334701810963,2,4
124,62,2,583.325024679652,3,3
124,62,1,466.67358239938,4,2
124,62,2,916.679740592372,5,1
124,63,1,750.255491424468,1,4
124,63,2,816.658333555097,2,3
124,63,1,766.681720022461,3,2
124,63,2,383.295406718389,4,1
124,64,1,716.918077072478,1,5
124,64,2,1249.86217392143,2,4
124,64,1,600.0012463046,3,3
124,64,2,483.468202495715,4,2
124,64,1,499.86767230439,5,1
124,65,1,700.228659319691,1,3
124,65,2,900.003152404679,2,2
124,65,1,366.660239669727,3,1
124,66,2,916.93523201684,1,4
124,66,1,833.294600291993,2,3
124,66,2,416.935598565033,3,2
124,66,1,899.621198244859,4,1
124,67,1,566.919689910719,1,9
124,67,2,699.857701911242,2,8
124,67,1,666.809502377873,3,7
124,67,2,783.366372488672,4,6
124,67,1,1150.00058649457,5,5
124,67,2,1283.30882277805,6,4
124,67,1,466.525126132183,7,3
124,67,2,433.333602151833,8,2
124,67,1,550.009603830404,9,1
124,68,1,850.234377634479,1,2
124,68,2,1333.35654871189,2,1
124,69,2,1066.76646838605,1,2
124,69,1,1366.68259974977,2,1
124,70,1,850.254538352601,1,3
124,70,2,1166.70539970801,2,2
124,70,1,1733.32781052159,3,1
124,71,1,833.590046604513,1,2
124,71,2,1783.31175525091,2,1
124,72,1,733.653681207215,1,2
124,72,2,2133.34635838692,2,1
124,73,1,750.256957646343,1,3
124,73,2,1600.00527845114,2,2
124,73,1,1583.19379665772,3,1
124,74,1,783.588140504435,1,3
124,74,2,916.664345131721,2,2
124,74,1,799.978446346358,3,1
124,75,1,583.590046604513,1,8
124,75,2,916.666544493637,2,7
124,75,1,766.6575271287,3,6
124,75,2,783.34987735434,4,5
124,75,1,1533.34767799242,5,4
124,75,2,516.646530377329,6,3
124,75,1,499.999266874511,7,2
124,75,2,483.332575779059,8,1
124,76,1,700.25101939973,1,3
124,76,2,1199.99589453801,2,2
124,76,1,466.676514872233,3,1
124,77,2,1000.28188365104,1,4
124,77,1,666.656647386844,2,3
124,77,2,1100.02470605832,3,2
124,77,1,483.30288453144,4,1
124,78,1,666.756351361983,1,2
124,78,2,1133.35552235367,2,1
124,79,2,583.573184921988,1,4
124,79,1,800.006671357551,2,3
