"","Trial","correct","faceVal","houseVal","mult1House","mult2Face","summedVal","earnings","selection","rt","flip","participant","subject","finalEarnings","accuracy"
"50",47,0,-0.16,0.16,1,1,0,-10.7,"['j']",3.14025422430132,NA,1,1,-21.36,0.5
"51",48,0,-0.28,0.86,1,1,0.58,-11.28,"['j']",4.62143467933493,NA,1,1,-21.36,0.5
"52",49,0,0.7,-0.26,1,1,0.44,-11.72,"['j']",1.88405109965242,NA,1,1,-21.36,0.5
"53",50,1,0.72,-0.64,1,1,0.08,-11.64,"['f']",2.85386729690799,NA,1,1,-21.36,0.5
"54",51,0,-0.48,-0.1,1,1,-0.58,-12.22,"['f']",3.27485351125506,NA,1,1,-21.36,0.5
"55",52,1,-0.88,-0.02,1,1,-0.9,-12.22,"['j']",3.81137789860077,NA,1,1,-21.36,0.5
"56",53,0,-0.24,0.44,1,1,0.2,-12.42,"['j']",3.5404820322583,NA,1,1,-21.36,0.5
"57",54,0,0.42,-0.34,1,1,0.08,-12.5,"['j']",1.42301280976972,NA,1,1,-21.36,0.5
"58",55,1,0.52,-0.96,1,1,-0.44,-12.5,"['j']",3.60487037901476,NA,1,1,-21.36,0.5
"59",56,0,-0.7,0.66,1,1,-0.04,-12.54,"['f']",6.20953434274998,NA,1,1,-21.36,0.5
"60",57,0,0.96,0.22,1,1,1.18,-13.72,"['j']",3.95079324159451,NA,1,1,-21.36,0.5
"61",58,1,-0.68,-0.06,1,1,-0.74,-13.72,"['j']",2.74679275124799,NA,1,1,-21.36,0.5
"62",59,1,0.14,-0.44,1,1,-0.3,-13.72,"['j']",3.99242663243786,NA,1,1,-21.36,0.5
"63",60,0,0.36,-0.18,1,1,0.18,-13.9,"['j']",2.95511053582595,NA,1,1,-21.36,0.5
"64",61,0,-0.82,0.18,1,1,-0.64,-14.54,"['f']",1.56990236887941,NA,1,1,-21.36,0.5
"65",62,0,-0.74,0.22,1,1,-0.52,-15.06,"['f']",1.36970568847028,NA,1,1,-21.36,0.5
"66",63,1,-0.78,0.18,1,1,-0.6,-15.06,"['j']",2.00166033599817,NA,1,1,-21.36,0.5
"67",64,1,-0.62,-0.16,1,1,-0.78,-15.06,"['j']",2.4859781830819,NA,1,1,-21.36,0.5
"68",65,1,-0.64,-0.14,1,1,-0.78,-15.06,"['j']",0.847389402573754,NA,1,1,-21.36,0.5
"69",66,1,-0.48,-0.26,1,1,-0.74,-15.06,"['j']",1.74167743811995,NA,1,1,-21.36,0.5
"70",67,1,-0.54,-0.84,1,1,-1.38,-15.06,"['j']",3.02069771369133,NA,1,1,-21.36,0.5
"71",68,0,0.38,0.7,1,1,1.08,-16.14,"['j']",2.49779373014462,NA,1,1,-21.36,0.5
"72",69,1,0.84,0.6,1,1,1.44,-14.7,"['f']",1.6531081573994,NA,1,1,-21.36,0.5
"73",70,1,0.18,-0.7,1,1,-0.52,-14.7,"['j']",3.77531892212573,NA,1,1,-21.36,0.5
"74",71,0,0.02,-0.88,1,1,-0.86,-15.56,"['f']",2.75995555611735,NA,1,1,-21.36,0.5
"75",72,1,-0.16,-0.78,1,1,-0.94,-15.56,"['j']",1.70663761829928,NA,1,1,-21.36,0.5
"76",73,1,-1,0.34,1,1,-0.66,-15.56,"['j']",2.13044213732064,NA,1,1,-21.36,0.5
"77",74,1,-0.68,-0.16,1,1,-0.84,-15.56,"['j']",4.65150250492297,NA,1,1,-21.36,0.5
"78",75,1,-0.78,0.4,1,1,-0.38,-15.56,"['j']",1.50970933003555,NA,1,1,-21.36,0.5
"79",76,1,-0.72,0.5,1,1,-0.22,-15.56,"['j']",1.92929780947452,NA,1,1,-21.36,0.5
"80",77,0,1,-0.1,1,1,0.9,-16.46,"['j']",2.29263947754225,NA,1,1,-21.36,0.5
"81",78,0,-0.14,0.3,1,1,0.16,-16.62,"['j']",2.95399673461361,NA,1,1,-21.36,0.5
"82",79,0,-0.52,-0.04,1,1,-0.56,-17.18,"['f']",1.95090561323741,NA,1,1,-21.36,0.5
"83",80,0,0.82,-0.14,1,1,0.68,-17.86,"['j']",1.35404637042666,NA,1,1,-21.36,0.5
"84",81,1,-0.88,0.48,1,1,-0.4,-17.86,"['j']",1.46813422822015,NA,1,1,-21.36,0.5
"85",82,0,0.34,-0.22,1,1,0.12,-17.98,"['j']",2.82467410722893,NA,1,1,-21.36,0.5
"86",83,0,0.18,-0.2,1,1,-0.02,-18,"['f']",5.13829583305051,NA,1,1,-21.36,0.5
"87",84,0,0,0.08,1,1,0.08,-18.08,"['j']",2.04540775580244,NA,1,1,-21.36,0.5
"88",85,1,-0.62,0.86,1,1,0.24,-17.84,"['f']",1.54413861731882,NA,1,1,-21.36,0.5
"89",86,0,0.78,-0.54,1,1,0.24,-18.08,"['j']",2.88313049351564,NA,1,1,-21.36,0.5
"90",87,1,-0.12,-0.2,1,1,-0.32,-18.08,"['j']",1.79449811642553,NA,1,1,-21.36,0.5
"91",88,0,0.36,-0.32,1,1,0.04,-18.12,"['j']",2.95002286492672,NA,1,1,-21.36,0.5
"92",89,1,-0.62,0.08,1,1,-0.54,-18.12,"['j']",1.18380484351655,NA,1,1,-21.36,0.5
"93",90,1,-0.84,-0.24,1,1,-1.08,-18.12,"['j']",4.2584797019008,NA,1,1,-21.36,0.5
"94",91,0,-0.86,-0.44,1,1,-1.3,-19.42,"['f']",2.22991807687504,NA,1,1,-21.36,0.5
"95",92,0,0.36,0.28,1,1,0.64,-20.06,"['j']",3.47003072492953,NA,1,1,-21.36,0.5
"96",93,1,0.18,-0.3,1,1,-0.12,-20.06,"['j']",2.18764380714856,NA,1,1,-21.36,0.5
"97",94,0,-0.9,-0.28,1,1,-1.18,-21.24,"['f']",2.75546700029372,NA,1,1,-21.36,0.5
"98",95,1,0.78,-0.48,1,1,0.3,-20.94,"['f']",3.20635428553214,NA,1,1,-21.36,0.5
"99",96,1,0.22,-0.84,1,1,-0.62,-20.94,"['j']",2.06303477931942,NA,1,1,-21.36,0.5
"100",97,0,0.72,-1,1,1,-0.28,-21.22,"['f']",1.55927754051663,NA,1,1,-21.36,0.5
"101",98,0,0.3,0.56,1,1,0.86,-22.08,"['j']",1.27488265577267,NA,1,1,-21.36,0.5
"102",99,0,0.56,0.24,1,1,0.8,-22.88,"['j']",4.2486658121561,NA,1,1,-21.36,0.5
"103",100,1,0.68,0.84,1,1,1.52,-21.36,"['f']",1.8039111939579,NA,1,1,-21.36,0.5
"410",1,0,-0.36,0.4,1,1,0.04,-0.04,"['j']",7.10139289374638,NA,2,2,13.36,0.79
"510",2,1,0.6,0.04,1,1,0.64,0.6,"['f']",3.63978888611018,NA,2,2,13.36,0.79
"610",3,1,0.58,0.1,1,1,0.68,1.28,"['f']",2.61125287726463,NA,2,2,13.36,0.79
"710",4,0,0.2,0.52,1,1,0.72,0.56,"['j']",2.18829319062934,NA,2,2,13.36,0.79
"810",5,0,0.52,-0.6,1,1,-0.08,0.48,"['f']",1.15696232044866,NA,2,2,13.36,0.79
"910",6,1,-0.02,0.14,1,1,0.12,0.6,"['f']",2.93367507438234,NA,2,2,13.36,0.79
"104",7,1,0.76,0.2,1,1,0.96,1.56,"['f']",1.98174927311629,NA,2,2,13.36,0.79
"111",8,0,-0.34,-0.74,1,1,-1.08,0.48,"['f']",2.95948863231752,NA,2,2,13.36,0.79
"121",9,1,-0.42,0.08,1,1,-0.34,0.48,"['j']",1.89935043962032,NA,2,2,13.36,0.79
"131",10,1,-0.62,-0.58,1,1,-1.2,0.48,"['j']",2.25201104123698,NA,2,2,13.36,0.79
"141",11,0,-0.64,-0.94,1,1,-1.58,-1.1,"['f']",3.31624117291358,NA,2,2,13.36,0.79
"151",12,0,0.88,-0.98,1,1,-0.1,-1.2,"['f']",2.17317323723546,NA,2,2,13.36,0.79
"161",13,0,0.82,0.5,1,1,1.32,-2.52,"['j']",5.86706411265186,NA,2,2,13.36,0.79
"171",14,1,-0.76,-0.28,1,1,-1.04,-2.52,"['j']",2.52138405426376,NA,2,2,13.36,0.79
"181",15,1,-0.84,1,1,1,0.16,-2.36,"['f']",1.46904365085356,NA,2,2,13.36,0.79
"191",16,1,0.08,0.16,1,1,0.24,-2.12,"['f']",1.40000799218978,NA,2,2,13.36,0.79
"201",17,1,0.38,0.04,1,1,0.42,-1.7,"['f']",2.32723854060896,NA,2,2,13.36,0.79
"211",18,1,-0.24,-0.6,1,1,-0.84,-1.7,"['j']",1.66763324040221,NA,2,2,13.36,0.79
"221",19,1,-0.12,0,1,1,-0.12,-1.7,"['j']",1.58405570973991,NA,2,2,13.36,0.79
