"parcode","trial","rt","choice","face_val_tot","house_val_tot","face_mult","house_mult","face_bin","house_bin","face_bin_val","house_bin_val"
151,37,3737.08837525,-1,0.28,-0.56,1,1,7,2,0.39,-0.72
151,38,4821.73876857,-1,-0.016,-0.44,0.1,2,5,3,0,-0.375
151,39,2035.97067829,-1,0.2,-1.12,10,2,6,1,0.12,-1.42
151,40,1801.58813383,1,0.74,0.41,1,0.5,8,7,0.72,0.39
151,41,2519.61175212,-1,-2.8,0.34,10,1,0,7,0,0.39
151,42,2085.26874875,-1,-0.64,0.26,1,1,2,7,-0.72,0.39
151,43,3103.23440748,1,1.4,-2,10,10,9,1,1.52,-1.42
151,44,6089.70961032,-1,0.028,-0.2,0.1,1,5,4,0,-0.1
151,45,4571.21077777,1,-0.12,8.2,0.5,10,4,99,-0.1,99
151,46,3036.42798488,-1,0.4,-0.92,0.5,1,7,1,0.39,-1.42
151,47,6206.15903633,-1,-1,0.004,10,0.1,1,5,-1.42,0
151,48,3153.31368498,1,5.4,0.36,10,0.5,99,7,99,0.39
151,49,4321.09322114,-1,-1.64,-0.008,2,0.1,1,5,-1.42,0
151,50,2652.98723057,-1,-0.48,-0.12,0.5,1,3,4,-0.375,-0.1
151,51,2185.82752211,-1,-1,0.2,2,0.5,1,6,-1.42,0.12
151,52,2552.76077066,1,1.12,0.24,2,3,9,6,1.52,0.12
151,53,2836.50568493,-1,-0.04,0.02,0.1,1,5,5,0,0
151,54,5288.7542542,-1,-0.14,-0.04,1,1,4,5,-0.1,0
151,55,1651.76013458,1,0.28,0.32,1,1,7,7,0.39,0.39
151,56,1702.01007577,-1,-1.08,6.4,2,10,1,99,-1.42,99
151,57,6339.86803009,1,-0.048,-0.4,0.1,10,5,3,0,-0.375
151,58,2969.70629319,1,2.94,0.68,3,1,99,8,99,0.72
151,59,5472.40611469,-1,0.094,-0.078,0.1,0.1,6,4,0.12,-0.1
151,60,4153.30046455,-1,-0.072,-0.56,0.1,2,4,2,-0.1,-0.72
