,parcode,trial,fix_item,fix_time,fix_num,rev_fix_num
0,1,1,2,2850.34923508647,1,6
1,1,1,1,1233.1765089693401,2,5
2,1,1,2,433.40340639406304,3,4
3,1,1,1,433.219029328029,4,3
4,1,1,2,1233.32569677586,5,2
5,1,1,1,2699.83450050495,6,1
6,1,2,1,1683.52757683897,1,3
7,1,2,2,1183.18393170193,2,2
8,1,2,1,1683.46013074915,3,1
9,1,3,1,1483.77133577742,1,3
10,1,3,2,1966.4129496522896,2,2
11,1,3,1,266.502205740835,3,1
12,1,4,2,633.532433683285,1,5
13,1,4,1,1016.6441540932301,2,4
14,1,4,2,1349.99495986995,3,3
15,1,4,1,383.192729022994,4,2
16,1,4,2,1133.4615053274301,5,1
17,1,5,1,1700.0361056489098,1,2
18,1,5,2,1266.80058135389,2,1
19,1,6,2,1083.37252415367,1,3
20,1,6,1,667.015382474347,2,2
21,1,6,2,1066.46261782589,3,1
22,1,7,2,783.704072979162,1,4
23,1,7,1,666.730202829058,2,3
24,1,7,2,549.770994883147,3,2
25,1,7,1,216.83989436132802,4,1
26,1,9,2,1216.72149715596,1,2
27,1,9,1,966.754945286084,2,1
28,1,10,2,1267.09529141954,1,2
29,1,10,1,1066.48204522207,2,1
30,1,11,1,2766.7039941588896,1,3
31,1,11,2,1166.7930669937,2,2
32,1,11,1,799.956379967625,3,1
33,1,12,2,500.38323305489007,1,3
34,1,12,1,999.727283211541,2,2
35,1,12,2,1616.73249379965,3,1
36,1,13,1,616.748988759355,1,5
37,1,13,2,1583.48120765004,2,4
38,1,13,1,566.658174822805,3,3
39,1,13,2,399.903962636017,4,2
40,1,13,1,383.271538303234,5,1
41,1,14,1,916.882597986842,1,3
42,1,14,2,749.9835966737011,2,2
43,1,14,1,716.49295023235,3,1
44,1,15,2,1750.00412373629,1,2
45,1,15,1,1266.79911513929,2,1
46,1,16,1,1800.18327740254,1,5
47,1,16,2,683.189246745314,2,4
48,1,16,1,616.685941349715,3,3
49,1,16,2,533.437312711612,4,2
50,1,16,1,249.85988442495,5,1
51,1,17,1,2150.1885008037802,1,5
52,1,17,2,699.991385961766,2,4
53,1,17,1,1016.6584497346801,3,3
54,1,17,2,983.3265215274879,4,2
55,1,17,1,633.332294761203,5,1
56,1,18,2,1150.14048213197,1,4
57,1,18,1,1650.02776653273,2,3
58,1,18,2,549.98872843862,3,2
59,1,18,1,516.656800231431,4,1
60,1,19,2,1016.8805819412199,1,2
61,1,19,1,2016.6261929116397,2,1
62,1,20,2,700.225614476949,1,3
63,1,20,1,1066.65652531956,2,2
64,1,20,2,516.646536692861,3,1
65,1,21,2,883.5382069228219,1,2
66,1,21,1,1299.99541807047,2,1
67,1,22,2,1100.21645062079,1,2
68,1,22,1,1950.0052234070602,2,1
69,1,23,1,1383.5295928875,1,3
70,1,23,2,1066.85226559057,2,2
71,1,23,1,816.449880047003,3,1
72,1,24,2,4483.47369326802,1,4
73,1,24,1,2116.49295024108,2,3
74,1,24,2,766.668071795721,3,2
75,1,24,1,583.323222526815,4,1
76,1,25,1,483.383887345553,1,5
77,1,25,2,633.716444193851,2,4
78,1,25,1,583.094125788193,3,3
79,1,25,2,999.844947305974,4,2
80,1,25,1,1833.47488458094,5,1
81,1,26,2,916.8661030416839,1,5
82,1,26,1,3316.6289420623802,2,4
83,1,26,2,1166.67540288472,3,3
84,1,26,1,1133.29802188673,4,2
85,1,26,2,483.3267048088599,5,1
86,1,27,2,566.709859049297,1,5
87,1,27,1,799.995234789094,2,4
88,1,27,2,1333.47250196675,3,3
89,1,27,1,1000.20307136583,4,2
90,1,27,2,749.7786925378019,5,1
91,1,28,2,1566.84071909694,1,3
92,1,28,1,833.1915377202679,2,2
93,1,28,2,516.795357951196,3,1
94,1,29,1,483.394517432316,1,10
95,1,29,2,700.141673427424,2,9
96,1,29,1,566.680901218206,3,8
97,1,29,2,333.310851303395,4,7
98,1,29,1,250.02263476198996,5,6
99,1,29,2,266.63673135044496,6,5
100,1,29,1,333.345674021984,7,4
101,1,29,2,983.171835396206,8,3
102,1,29,1,733.474701293744,9,2
103,1,29,2,466.502205745201,10,1
104,1,30,2,683.378755580634,1,2
105,1,30,1,1350.1511122158302,2,1
106,1,31,2,766.910364516662,1,2
107,1,31,1,3416.45097971195,2,1
108,1,32,2,533.763179933885,1,5
109,1,32,1,833.279510858119,2,4
110,1,32,2,782.98159345286,3,3
111,1,32,1,566.754945291905,4,2
112,1,32,2,1666.68145103904,5,1
113,1,33,1,666.886721737683,1,3
114,1,33,2,866.652126656845,2,2
115,1,33,1,800.186942957225,3,1
116,1,34,2,450.204812499578,1,3
117,1,34,1,966.888371229288,2,2
118,1,34,2,899.868956650607,3,1
119,1,35,2,650.258329493226,1,4
120,1,35,1,1300.2619034086802,2,3
121,1,35,2,316.38481657137197,3,2
122,1,35,1,433.29343995719705,4,1
123,1,36,1,583.435021733749,1,4
124,1,36,2,1483.4256746107699,2,3
125,1,36,1,583.531425654655,3,2
126,1,36,2,799.791063764133,4,1
127,1,37,1,1067.01135035837,1,4
128,1,37,2,1083.02503019513,2,3
129,1,37,1,450.002107696491,3,2
130,1,37,2,533.5080577933701,4,1
131,1,38,1,500.19409076776395,1,4
132,1,38,2,883.326704803039,2,3
133,1,38,1,350.011454836931,3,2
134,1,38,2,550.127286158386,4,1
135,1,39,1,1483.3706913777899,1,3
136,1,39,2,716.824315779377,2,2
137,1,39,1,699.975624112994,3,1
138,1,40,1,533.555343354237,1,4
139,1,40,2,833.3121342438969,2,3
140,1,40,1,399.97067562944704,3,2
141,1,40,2,1083.33916765696,4,1
142,1,41,2,1150.2027964452302,1,3
143,1,41,1,3016.64195476042,2,2
144,1,41,2,433.26704800710996,3,1
145,1,42,2,850.208844611188,1,3
146,1,42,1,1066.6576249786901,2,2
147,1,42,2,1549.97333313804,3,1
148,1,43,2,850.20078040543,1,2
149,1,43,1,1766.5130191016897,2,1
150,1,44,2,1483.54443834978,1,3
151,1,44,1,1949.9755324650303,2,2
152,1,44,2,666.660923976451,3,1
153,1,45,2,833.36895024695,1,2
154,1,45,1,966.827523137908,2,1
155,1,46,2,416.871418070514,1,2
156,1,46,1,999.987170580425,2,1
157,1,47,1,1650.26492747711,1,2
158,1,47,2,1183.14727622783,2,1
159,1,48,1,1350.2038961160001,1,5
160,1,48,2,650.205545607605,2,4
161,1,48,1,816.2882293690931,3,3
162,1,48,2,250.159359711688,4,2
163,1,48,1,283.169819333125,5,1
