"","Experiment","Mult","Data","Dependent.Var","Mean","Median","SD","Min","Max","Skew","Kurtosis"
"1",1,"No","Raw","Accuracy",0.74,0.805,0.123405053388427,0.5,0.92,-0.577631673342559,-1.1291052111347
"2",1,"No","Raw","RT",4.37488871234217,2.33362865404342,6.81460751543495,0.0835353348520584,125.516336083005,6.61392070096571,72.0485890263922
"3",1,"No","Cleaned","Accuracy",0.827696289905091,0.82,0.0400026875882455,0.73,0.92,-0.134027629121967,0.739277226248781
"4",1,"No","Cleaned","RT",2.87723791922699,2.21333532441713,1.92717342310841,0.567079509492032,9.90023005224066,1.48549021045057,1.80752452773076
"5",1,"Yes","Raw","Accuracy",0.755729644137011,0.82,0.134334051669383,0.478260869565217,0.896666666666667,-0.957235710232729,-0.542236299566043
"6",1,"Yes","Raw","RT",2.59085184628389,1.80220709019341,4.28324990231082,0.000169716120581143,282.472810347077,28.3155304680002,1594.18851540115
"7",1,"Yes","Cleaned","Accuracy",0.832814237152569,0.833333333333333,0.0448239714534117,0.716666666666667,0.896666666666667,-0.695195205061185,0.122552565629287
"8",1,"Yes","Cleaned","RT",2.33639100098739,1.93573531563743,1.37523135056677,0.416871722787619,7.55917755007977,1.36682929484369,1.63374742533224
"9",2,"No","Raw","Accuracy",0.715333333333333,0.73,0.131748377712998,0.49,0.96,-0.0973448615620087,-1.23144967804676
"10",2,"No","Raw","RT",4.0391528735938,2.33864348805946,6.66624616973597,0.000255697301327018,152.435805855115,9.55526199755611,150.535432952211
"11",2,"No","Cleaned","Accuracy",0.826367094626724,0.84,0.0673617433958924,0.7,0.96,-0.314653331861266,-0.541406038754877
"12",2,"No","Cleaned","RT",3.56841532055459,2.7500712037945,2.38128354374422,0.434634034347255,11.9791079379138,1.40996826186935,1.45542505263204
"13",2,"Yes","Raw","Accuracy",0.69637037037037,0.736666666666667,0.155794202648537,0.453333333333333,0.9,-0.20701797107679,-1.58310195942992
"14",2,"Yes","Raw","RT",2.71944211972037,1.78353655745741,5.03818366246696,5.46164665138349e-05,306.091471856576,25.0347564074326,1185.96405275738
"15",2,"Yes","Cleaned","Accuracy",0.839216310444141,0.843333333333333,0.0408127033617367,0.736666666666667,0.9,-1.01709457699256,0.685869347855315
"16",2,"Yes","Cleaned","RT",2.97675828230598,2.45262775514857,1.80554689341872,0.300559794939545,9.82641489365233,1.50030226504853,2.09835887476074
