,choice,correct,earnings,face_mult,face_val_base,first_image,house_mult,house_val_base,image_list,key_entry_list,last_image,num_fixations,participant,round_num,rt,rt_list,summed_val,trial,face_val_total,house_val_total
17,1.0,1.0,-9.408,2.0,0.16,1.0,0.1,0.58,"[1, 0]","['space', 'f']",0.0,2.0,124,0.0,2.70027667852,"[1.3335566897731042, 2.7002766785153653]",0.378,18.0,0.32,0.058
18,1.0,1.0,-8.448,1.0,0.42,0.0,1.0,0.54,"[0, 1, 0]","['space', 'space', 'f']",0.0,3.0,124,0.0,2.21690194849,"[0.4501043959171511, 1.0835772170539713, 2.2169019484863384]",0.96,19.0,0.42,0.54
19,1.0,0.0,-8.746,3.0,-0.1,1.0,0.1,0.02,"[1, 0, 1, 0, 1, 0, 1]","['space', 'space', 'space', 'space', 'space', 'space', 'f']",1.0,7.0,124,0.0,7.88377743143,"[1.8502710335160373, 2.3667797378147952, 4.9169436628581025, 5.633596351428423, 6.716949601119268, 7.1169677824218525, 7.883777431430644]",-0.298,20.0,-0.3,0.002
20,1.0,1.0,-8.33,0.5,0.9,1.0,0.1,-0.34,"[1, 0, 1, 0]","['space', 'space', 'space', 'f']",0.0,4.0,124,0.0,3.31694974774,"[0.5502493332314771, 1.3169211561616976, 1.866781937162159, 3.3169497477356344]",0.416,21.0,0.45,-0.034
21,0.0,1.0,-8.33,0.1,-0.16,1.0,0.5,-0.5,"[1, 0, 1, 0, 1, 0]","['space', 'space', 'space', 'space', 'space', 'j']",0.0,6.0,124,0.0,10.2003716172,"[3.266955539351329, 3.950306736311177, 4.98358843375172, 5.533462410865468, 7.0002760187053354, 10.200371617203928]",-0.266,22.0,-0.016,-0.25
22,1.0,1.0,-4.81,10.0,0.4,0.0,2.0,-0.24,"[0, 1, 0, 1]","['space', 'space', 'space', 'f']",1.0,4.0,124,0.0,5.11694432267,"[0.5169192500470672, 1.3168954970460618, 2.6335871874471195, 5.116944322668132]",3.52,23.0,4.0,-0.48
23,1.0,1.0,-2.14,0.5,-0.3,0.0,3.0,0.94,"[0, 1, 0, 1]","['space', 'space', 'space', 'f']",1.0,4.0,124,0.0,5.61682922323,"[1.1502571775927208, 2.000114732873044, 3.4001233836606843, 5.616829223232344]",2.67,24.0,-0.15,2.82
24,1.0,1.0,-1.68,1.0,0.1,1.0,1.0,0.36,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]","['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'f']",0.0,12.0,124,0.0,13.5336603526,"[0.6834399041690631, 1.2835749443911482, 2.0167689609806985, 2.883584621537011, 7.516947841621004, 8.033474507305073, 8.73345610605611, 9.533639458721154, 11.433501486026216, 12.300294053391553, 12.75028738201945, 13.533660352564766]",0.46,25.0,0.1,0.36
25,0.0,1.0,-1.68,1.0,0.14,1.0,2.0,-0.14,"[1, 0, 1, 0, 1, 0, 1]","['space', 'space', 'space', 'space', 'space', 'space', 'j']",1.0,7.0,124,0.0,9.33362047098,"[3.7001326209428953, 4.766946008836385, 5.266785456129583, 6.333606908316142, 7.066802757690311, 8.216807376331417, 9.333620470977621]",-0.14,26.0,0.14,-0.28
26,1.0,1.0,3.31,0.5,-0.42,1.0,10.0,0.52,"[1, 0, 1]","['space', 'space', 'f']",1.0,3.0,124,0.0,3.9834601382,"[1.5336002369440394, 2.6836015565495472, 3.983460138202645]",4.99,27.0,-0.21,5.2
