,correct,earnings,face_mult,face_val,first_image,house_mult,house_val,image_list,key_entry_list,last_image,num_fixations,participant,round_num,rt,rt_list,summed_val,trial
657,1.0,1.75,1.0,-0.25,1.0,1.0,0.25,[1],['f'],1.0,1.0,117,0.0,5.16680693646,[5.166806936464127],0.0,58.0
658,1.0,3.0,2.0,0.25,1.0,3.0,0.25,[1],['f'],1.0,1.0,117,0.0,4.68364774295,[4.683647742949688],1.25,59.0
659,1.0,3.5,1.0,0.5,1.0,1.0,0.0,[1],['f'],1.0,1.0,117,0.0,5.05027022708,[5.050270227076908],0.5,60.0
660,1.0,3.5,2.0,-0.5,1.0,2.0,-0.75,[1],['j'],1.0,1.0,117,0.0,13.7170141154,[13.717014115441998],-2.5,61.0
661,0.0,2.75,3.0,-0.25,1.0,3.0,0.0,[1],['f'],1.0,1.0,117,0.0,4.8003090823,[4.800309082298554],-0.75,62.0
662,1.0,2.75,1.0,0.0,0.0,3.0,0.0,[0],['f'],0.0,1.0,117,0.0,14.8003878924,[14.800387892419167],0.0,63.0
663,1.0,3.5,3.0,-0.25,0.0,2.0,0.75,[0],['f'],0.0,1.0,117,0.0,9.7835225265,[9.783522526498928],0.75,64.0
664,1.0,4.25,1.0,0.75,0.0,3.0,0.0,[0],['f'],0.0,1.0,117,0.0,5.00014332445,[5.000143324452438],0.75,65.0
665,1.0,4.25,3.0,-1.0,1.0,3.0,-1.0,[1],['j'],1.0,1.0,117,0.0,6.91683919363,[6.91683919362913],-6.0,66.0
666,1.0,5.5,3.0,0.5,0.0,1.0,-0.25,[0],['f'],0.0,1.0,117,0.0,16.6171265023,[16.617126502340398],1.25,67.0
667,1.0,10.75,3.0,1.0,1.0,3.0,0.75,[1],['f'],1.0,1.0,117,0.0,13.7336800734,[13.733680073428332],5.25,68.0
668,1.0,10.75,3.0,-0.75,0.0,2.0,-0.75,[0],['j'],0.0,1.0,117,0.0,13.7668510701,[13.766851070131452],-3.75,69.0
669,0.0,9.75,1.0,-0.75,0.0,1.0,-0.25,[0],['f'],0.0,1.0,117,0.0,3.51677519248,[3.516775192478235],-1.0,70.0
670,1.0,9.75,3.0,0.0,1.0,2.0,-1.0,[1],['j'],1.0,1.0,117,0.0,19.6337070521,[19.633707052149475],-2.0,71.0
671,1.0,10.25,1.0,-0.5,0.0,1.0,1.0,[0],['f'],0.0,1.0,117,0.0,8.36681822647,[8.366818226471878],0.5,72.0
672,0.0,9.0,2.0,-1.0,0.0,3.0,0.25,[0],['f'],0.0,1.0,117,0.0,6.81698163834,[6.816981638341531],-1.25,73.0
673,1.0,12.5,1.0,0.5,1.0,3.0,1.0,[1],['f'],1.0,1.0,117,0.0,5.80031824627,[5.800318246265306],3.5,74.0
674,1.0,12.5,1.0,-1.0,0.0,1.0,-0.75,[0],['j'],0.0,1.0,117,0.0,9.56731374053,[9.567313740526515],-1.75,75.0
675,0.0,10.25,3.0,-0.25,0.0,3.0,1.0,[0],['j'],0.0,1.0,117,0.0,11.383690557,[11.383690557007867],2.25,76.0
676,0.0,7.5,3.0,-0.75,1.0,2.0,-0.25,[1],['f'],1.0,1.0,117,0.0,30.9170950516,[30.91709505160361],-2.75,77.0
677,0.0,7.0,1.0,-0.5,1.0,2.0,0.5,[1],['j'],1.0,1.0,117,0.0,14.5335243593,[14.533524359290823],0.5,78.0
678,0.0,3.5,3.0,-1.0,0.0,1.0,-0.5,[0],['f'],0.0,1.0,117,0.0,6.16692240246,[6.166922402455384],-3.5,79.0
679,0.0,2.5,1.0,-0.75,1.0,1.0,-0.25,[1],['f'],1.0,1.0,117,0.0,18.5170541437,[18.517054143652786],-1.0,80.0
680,1.0,2.5,1.0,-0.5,0.0,3.0,-1.0,[0],['j'],0.0,1.0,117,0.0,14.7670116228,[14.767011622843711],-3.5,81.0
681,1.0,2.5,1.0,-1.0,1.0,3.0,-0.5,[1],['j'],1.0,1.0,117,0.0,7.20031260126,[7.20031260126234],-2.5,82.0
682,1.0,2.5,3.0,-0.75,1.0,1.0,-0.5,[1],['j'],1.0,1.0,117,0.0,13.8836909236,[13.883690923566974],-2.75,83.0
683,0.0,2.0,2.0,-0.75,0.0,2.0,0.5,[0],['f'],0.0,1.0,117,0.0,19.7337284592,[19.733728459177655],-0.5,84.0
684,0.0,0.25,2.0,-1.0,1.0,1.0,0.25,[1],['f'],1.0,1.0,117,0.0,5.93346666295,[5.933466662952924],-1.75,85.0
685,0.0,-0.75,2.0,1.0,1.0,2.0,-0.5,[1],['j'],1.0,1.0,117,0.0,24.7669368449,[24.766936844869633],1.0,86.0
686,1.0,-0.5,1.0,0.5,1.0,1.0,-0.25,[1],['f'],1.0,1.0,117,0.0,1.73358696752,[1.7335869675189315],0.25,87.0
687,1.0,1.75,3.0,0.25,1.0,3.0,0.5,[1],['f'],1.0,1.0,117,0.0,7.45015131543,[7.450151315431867],2.25,88.0
688,1.0,5.5,3.0,0.5,1.0,3.0,0.75,[1],['f'],1.0,1.0,117,0.0,2.45033422823,[2.4503342282259837],3.75,89.0
689,0.0,4.75,1.0,0.25,0.0,2.0,-0.5,[0],['f'],0.0,1.0,117,0.0,4.36696118437,[4.366961184365209],-0.75,90.0
690,0.0,3.75,1.0,0.25,1.0,1.0,0.75,[1],['j'],1.0,1.0,117,0.0,5.66696345703,[5.666963457029851],1.0,91.0
